gender,age,age_other,diff_age,race,race_other,samerace,importance_same_race,importance_same_religion,field,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,attractive_o,sinsere_o,intelligence_o,funny_o,ambitous_o,shared_interests_o,attractive_important,sincere_important,intellicence_important,funny_important,ambtition_important,shared_interests_important,attractive,sincere,intelligence,funny,ambition,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambition_partner,shared_interests_partner,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,expected_happy_with_sd_people,expected_num_matches,like,guess_prob_liked,met,decision,decision_other,match
female,24,27,3,european/caucasian-american,european/caucasian-american,Yes,Low,Medium,law,35,20,20,20,0,5,High,Medium,Medium,High,Medium,Medium,45,5,25,20,0,5,Medium,Medium,High,High,Low,Medium,Medium,High,Medium,Medium,Low,Low,Low,Medium,High,High,Medium,Low,Medium,High,High,Low,High,High,Medium,High,Low,Low,Medium,Low,Medium,Medium,No,No,No,No
female,24,22,2,european/caucasian-american,european/caucasian-american,Yes,Low,Medium,law,60,0,0,40,0,0,Medium,Medium,High,Medium,Medium,Medium,45,5,25,20,0,5,Medium,Medium,High,High,Low,High,Medium,Medium,Medium,High,Medium,Low,Low,Medium,High,High,Medium,Low,Medium,High,High,Low,High,High,Medium,High,Low,Low,Medium,Low,Medium,Low,No,No,No,No
female,24,22,2,european/caucasian-american,asian/pacific islander/asian-american,No,Low,Medium,law,19,18,19,18,14,12,High,High,High,High,High,High,45,5,25,20,0,5,Medium,Medium,High,High,Low,Medium,High,High,Medium,Low,Medium,Low,Low,Medium,High,High,Medium,Low,Medium,High,High,Low,High,High,Medium,High,Low,Low,Medium,Low,Medium,Medium,No,No,Yes,No
female,24,23,1,european/caucasian-american,european/caucasian-american,Yes,Low,Medium,law,30,5,15,40,5,5,High,High,High,High,High,High,45,5,25,20,0,5,Medium,Medium,High,High,Low,Medium,High,Medium,Medium,Medium,Medium,Low,Low,Medium,High,High,Medium,Low,Medium,High,High,Low,High,High,Medium,High,Low,Low,Medium,Low,Medium,High,No,Yes,Yes,Yes
female,24,24,0,european/caucasian-american,latino/hispanic american,No,Low,Medium,law,30,10,20,10,10,20,High,High,High,High,Medium,High,45,5,25,20,0,5,Medium,Medium,High,High,Low,Medium,High,Medium,High,Medium,High,Low,Low,Medium,High,High,Medium,Low,Medium,High,High,Low,High,High,Medium,High,Low,Low,Medium,Low,High,Medium,Yes,No,Yes,No
female,24,25,1,european/caucasian-american,european/caucasian-american,Yes,Low,Medium,law,50,0,30,10,0,10,Medium,High,Medium,Medium,Medium,Medium,45,5,25,20,0,5,Medium,Medium,High,High,Low,High,Medium,High,Low,Medium,Low,Low,Low,Medium,High,High,Medium,Low,Medium,High,High,Low,High,High,Medium,High,Low,Low,Medium,Low,Medium,Medium,No,No,Yes,No
female,24,30,6,european/caucasian-american,european/caucasian-american,Yes,Low,Medium,law,35,15,25,10,5,10,Medium,Low,Medium,Low,Medium,Low,45,5,25,20,0,5,Medium,Medium,High,High,Low,Medium,Medium,High,Medium,Medium,High,Low,Low,Medium,High,High,Medium,Low,Medium,High,High,Low,High,High,Medium,High,Low,Low,Medium,Low,High,Medium,No,Yes,No,No
female,24,27,3,european/caucasian-american,european/caucasian-american,Yes,Low,Medium,law,33.33,11.11,11.11,11.11,11.11,22.22,Medium,Medium,Medium,Medium,Medium,Medium,45,5,25,20,0,5,Medium,Medium,High,High,Low,Medium,High,Medium,Medium,High,Medium,Low,Low,Medium,High,High,Medium,Low,Medium,High,High,Low,High,High,Medium,High,Low,Low,Medium,Low,Medium,Medium,No,No,Yes,No
female,24,28,4,european/caucasian-american,european/caucasian-american,Yes,Low,Medium,law,50,0,25,10,0,15,High,Medium,High,High,High,Medium,45,5,25,20,0,5,Medium,Medium,High,High,Low,Medium,Medium,High,High,Medium,Medium,Low,Low,Medium,High,High,Medium,Low,Medium,High,High,Low,High,High,Medium,High,Low,Low,Medium,Low,Medium,Medium,No,Yes,Yes,Yes
female,24,24,0,european/caucasian-american,european/caucasian-american,Yes,Low,Medium,law,100,0,0,0,0,0,Medium,Medium,Medium,Medium,High,Medium,45,5,25,20,0,5,Medium,Medium,High,High,Low,Medium,Medium,High,Medium,High,High,Low,Low,Medium,High,High,Medium,Low,Medium,High,High,Low,High,High,Medium,High,Low,Low,Medium,Low,High,Medium,No,Yes,No,Yes
female,25,27,2,european/caucasian-american,european/caucasian-american,Yes,High,Medium,economics,35,20,20,20,0,5,Medium,High,Medium,Medium,High,Medium,35,10,35,10,10,0,High,High,High,High,High,Medium,High,High,Medium,High,High,Low,High,Medium,High,Medium,Medium,High,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,High,Medium,Yes,No,No,Yes
female,25,22,3,european/caucasian-american,european/caucasian-american,Yes,High,Medium,economics,60,0,0,40,0,0,Medium,Medium,High,Medium,Medium,Medium,35,10,35,10,10,0,High,High,High,High,High,High,Medium,High,High,High,Medium,Low,High,Medium,High,Medium,Medium,High,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,High,Medium,No,No,No,Yes
female,25,22,3,european/caucasian-american,asian/pacific islander/asian-american,No,High,Medium,economics,19,18,19,18,14,12,High,High,High,High,High,High,35,10,35,10,10,0,High,High,High,High,High,Medium,High,High,Medium,High,Medium,Low,High,Medium,High,Medium,Medium,High,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,High,Medium,No,No,Yes,Yes
female,25,23,2,european/caucasian-american,european/caucasian-american,Yes,High,Medium,economics,30,5,15,40,5,5,Medium,High,High,High,High,High,35,10,35,10,10,0,High,High,High,High,High,High,Medium,High,Medium,High,Medium,Low,High,Medium,High,Medium,Medium,High,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,High,Medium,No,No,Yes,Yes
female,25,24,1,european/caucasian-american,latino/hispanic american,No,High,Medium,economics,30,10,20,10,10,20,Medium,High,High,Medium,Medium,Medium,35,10,35,10,10,0,High,High,High,High,High,High,High,High,High,High,High,Low,High,Medium,High,Medium,Medium,High,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,High,Medium,No,No,Yes,Yes
female,25,25,0,european/caucasian-american,european/caucasian-american,Yes,High,Medium,economics,50,0,30,10,0,10,Medium,Medium,Medium,Medium,Medium,Medium,35,10,35,10,10,0,High,High,High,High,High,High,High,High,Medium,High,High,Low,High,Medium,High,Medium,Medium,High,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,High,Medium,No,No,Yes,Yes
female,25,30,5,european/caucasian-american,european/caucasian-american,Yes,High,Medium,economics,35,15,25,10,5,10,Medium,Low,Medium,Medium,Medium,Medium,35,10,35,10,10,0,High,High,High,High,High,High,High,High,Medium,Medium,High,Low,High,Medium,High,Medium,Medium,High,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,High,Medium,No,No,No,Yes
female,25,27,2,european/caucasian-american,european/caucasian-american,Yes,High,Medium,economics,33.33,11.11,11.11,11.11,11.11,22.22,Medium,Medium,Medium,Medium,Medium,Medium,35,10,35,10,10,0,High,High,High,High,High,Medium,High,High,High,High,Medium,Low,High,Medium,High,Medium,Medium,High,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,High,Medium,No,No,No,Yes
female,25,28,3,european/caucasian-american,european/caucasian-american,Yes,High,Medium,economics,50,0,25,10,0,15,Medium,Medium,Medium,High,Medium,Medium,35,10,35,10,10,0,High,High,High,High,High,High,High,High,High,High,High,Low,High,Medium,High,Medium,Medium,High,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,High,Medium,No,No,Yes,Yes
female,25,24,1,european/caucasian-american,european/caucasian-american,Yes,High,Medium,economics,100,0,0,0,0,0,Medium,Medium,High,Medium,High,Medium,35,10,35,10,10,0,High,High,High,High,High,High,Medium,High,Medium,High,Medium,Low,High,Medium,High,Medium,Medium,High,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,High,Medium,No,No,No,Yes
female,23,27,4,european/caucasian-american,european/caucasian-american,Yes,Low,Low,law,35,20,20,20,0,5,Medium,Medium,High,Medium,Medium,Medium,20,20,20,20,10,10,Medium,High,High,Medium,High,Medium,High,High,Medium,High,Medium,Low,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,High,Medium,Low,High,Low,Low,Medium,Medium,No,No,No,Yes
female,23,22,1,european/caucasian-american,european/caucasian-american,Yes,Low,Low,law,60,0,0,40,0,0,Medium,Medium,High,Medium,Medium,Medium,20,20,20,20,10,10,Medium,High,High,Medium,High,High,Medium,High,High,Medium,High,Low,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,High,Medium,Low,High,Low,Low,High,Low,Yes,No,No,Yes
female,23,22,1,european/caucasian-american,asian/pacific islander/asian-american,No,Low,Low,law,19,18,19,18,14,12,High,High,High,High,High,High,20,20,20,20,10,10,Medium,High,High,Medium,High,Medium,Medium,High,High,Medium,Medium,Low,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,High,Medium,Low,High,Low,Low,Medium,Low,No,No,Yes,Yes
female,23,23,0,european/caucasian-american,european/caucasian-american,Yes,Low,Low,law,30,5,15,40,5,5,Medium,Medium,Medium,High,High,High,20,20,20,20,10,10,Medium,High,High,Medium,High,High,High,Medium,High,Medium,High,Low,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,High,Medium,Low,High,Low,Low,High,High,Yes,Yes,Yes,Yes
female,23,24,1,european/caucasian-american,latino/hispanic american,No,Low,Low,law,30,10,20,10,10,20,High,High,High,High,High,High,20,20,20,20,10,10,Medium,High,High,Medium,High,Medium,High,High,High,High,High,Low,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,High,Medium,Low,High,Low,Low,Medium,Medium,No,No,Yes,Yes
female,23,25,2,european/caucasian-american,european/caucasian-american,Yes,Low,Low,law,50,0,30,10,0,10,Medium,Medium,Medium,Medium,High,Medium,20,20,20,20,10,10,Medium,High,High,Medium,High,Medium,High,High,Medium,High,Low,Low,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,High,Medium,Low,High,Low,Low,Medium,Low,No,No,Yes,Yes
female,23,30,7,european/caucasian-american,european/caucasian-american,Yes,Low,Low,law,35,15,25,10,5,10,Medium,Medium,Low,Medium,Medium,Medium,20,20,20,20,10,10,Medium,High,High,Medium,High,Medium,High,High,Medium,High,Medium,Low,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,High,Medium,Low,High,Low,Low,Medium,Low,No,No,Yes,Yes
female,23,27,4,european/caucasian-american,european/caucasian-american,Yes,Low,Low,law,33.33,11.11,11.11,11.11,11.11,22.22,Medium,Medium,High,Medium,Medium,Medium,20,20,20,20,10,10,Medium,High,High,Medium,High,Medium,High,High,Medium,High,Medium,Low,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,High,Medium,Low,High,Low,Low,Medium,Medium,No,No,No,Yes
female,23,28,5,european/caucasian-american,european/caucasian-american,Yes,Low,Low,law,50,0,25,10,0,15,Medium,Medium,Medium,High,High,High,20,20,20,20,10,10,Medium,High,High,Medium,High,High,High,High,High,Medium,High,Low,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,High,Medium,Low,High,Low,Low,High,High,No,Yes,Yes,Yes
female,23,24,1,european/caucasian-american,european/caucasian-american,Yes,Low,Low,law,100,0,0,0,0,0,Medium,High,High,Medium,High,Medium,20,20,20,20,10,10,Medium,High,High,Medium,High,High,High,High,High,High,High,Low,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,High,Medium,Low,High,Low,Low,High,High,No,Yes,No,Yes
female,21,27,6,european/caucasian-american,european/caucasian-american,Yes,High,Low,law,35,20,20,20,0,5,Medium,High,High,High,Medium,Medium,20,5,25,25,10,15,Medium,Low,Medium,High,High,Medium,High,High,Low,Low,Low,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,High,Medium,High,Medium,Medium,Low,Medium,High,Low,Medium,Medium,Medium,Medium,No,No,No,Yes
female,21,22,1,european/caucasian-american,european/caucasian-american,Yes,High,Low,law,60,0,0,40,0,0,Medium,Medium,High,Medium,Medium,Medium,20,5,25,25,10,15,Medium,Low,Medium,High,High,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,High,Medium,High,Medium,Medium,Low,Medium,High,Low,Medium,Medium,Medium,Medium,Yes,No,No,Yes
female,21,22,1,european/caucasian-american,asian/pacific islander/asian-american,No,High,Low,law,19,18,19,18,14,12,High,High,High,High,High,High,20,5,25,25,10,15,Medium,Low,Medium,High,High,Medium,Medium,High,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,High,Medium,High,Medium,Medium,Low,Medium,High,Low,Medium,Medium,Medium,Medium,Yes,No,Yes,Yes
female,21,23,2,european/caucasian-american,european/caucasian-american,Yes,High,Low,law,30,5,15,40,5,5,Medium,High,Medium,High,High,High,20,5,25,25,10,15,Medium,Low,Medium,High,High,High,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,High,Medium,High,Medium,Medium,Low,Medium,High,Low,Medium,Medium,High,Low,Yes,Yes,Yes,Yes
female,21,24,3,european/caucasian-american,latino/hispanic american,No,High,Low,law,30,10,20,10,10,20,Medium,High,High,Medium,High,Medium,20,5,25,25,10,15,Medium,Low,Medium,High,High,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,High,Medium,High,Medium,Medium,Low,Medium,High,Low,Medium,Medium,Medium,Medium,No,No,No,Yes
female,21,25,4,european/caucasian-american,european/caucasian-american,Yes,High,Low,law,50,0,30,10,0,10,Medium,High,Medium,Medium,Medium,Medium,20,5,25,25,10,15,Medium,Low,Medium,High,High,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,High,Medium,High,Medium,Medium,Low,Medium,High,Low,Medium,Medium,Medium,Low,No,Yes,No,Yes
female,21,30,9,european/caucasian-american,european/caucasian-american,Yes,High,Low,law,35,15,25,10,5,10,Low,Low,Medium,Medium,Medium,Low,20,5,25,25,10,15,Medium,Low,Medium,High,High,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,High,Medium,High,Medium,Medium,Low,Medium,High,Low,Medium,Medium,Medium,Low,No,Yes,No,Yes
female,21,27,6,european/caucasian-american,european/caucasian-american,Yes,High,Low,law,33.33,11.11,11.11,11.11,11.11,22.22,Medium,Medium,Medium,Medium,Medium,Medium,20,5,25,25,10,15,Medium,Low,Medium,High,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,High,Medium,High,Medium,Medium,Low,Medium,High,Low,Medium,Medium,Medium,Medium,No,Yes,No,Yes
female,21,28,7,european/caucasian-american,european/caucasian-american,Yes,High,Low,law,50,0,25,10,0,15,Medium,High,High,High,High,Medium,20,5,25,25,10,15,Medium,Low,Medium,High,High,Medium,Medium,Medium,High,Medium,High,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,High,Medium,High,Medium,Medium,Low,Medium,High,Low,Medium,Medium,High,Medium,No,Yes,Yes,Yes
female,21,24,3,european/caucasian-american,european/caucasian-american,Yes,High,Low,law,100,0,0,0,0,0,Low,High,Medium,Medium,High,Medium,20,5,25,25,10,15,Medium,Low,Medium,High,High,High,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,High,Medium,High,Medium,Medium,Low,Medium,High,Low,Medium,Medium,High,Low,No,Yes,No,No
female,23,27,4,asian/pacific islander/asian-american,european/caucasian-american,No,Low,Low,law,35,20,20,20,0,5,Medium,High,High,High,High,Medium,10,25,20,25,5,15,Medium,Medium,High,High,Medium,Medium,High,Medium,Medium,Medium,Medium,High,High,High,Medium,High,Medium,High,Low,Medium,High,Low,Medium,Medium,Medium,Medium,Low,Low,Medium,Medium,Medium,Medium,No,Yes,No,No
female,23,22,1,asian/pacific islander/asian-american,european/caucasian-american,No,Low,Low,law,60,0,0,40,0,0,Medium,High,High,Medium,Medium,Medium,10,25,20,25,5,15,Medium,Medium,High,High,Medium,Medium,High,High,Medium,High,Low,High,High,High,Medium,High,Medium,High,Low,Medium,High,Low,Medium,Medium,Medium,Medium,Low,Low,Medium,Medium,Medium,Medium,No,Yes,No,No
female,23,22,1,asian/pacific islander/asian-american,asian/pacific islander/asian-american,Yes,Low,Low,law,19,18,19,18,14,12,High,High,High,High,High,High,10,25,20,25,5,15,Medium,Medium,High,High,Medium,Medium,Medium,High,Medium,Low,Low,High,High,High,Medium,High,Medium,High,Low,Medium,High,Low,Medium,Medium,Medium,Medium,Low,Low,Medium,Medium,Medium,Low,Yes,No,Yes,No
female,23,23,0,asian/pacific islander/asian-american,european/caucasian-american,No,Low,Low,law,30,5,15,40,5,5,Medium,High,High,Medium,High,High,10,25,20,25,5,15,Medium,Medium,High,High,Medium,High,Medium,Medium,High,Low,High,High,High,High,Medium,High,Medium,High,Low,Medium,High,Low,Medium,Medium,Medium,Medium,Low,Low,Medium,Medium,High,Medium,No,Yes,Yes,Yes
female,23,24,1,asian/pacific islander/asian-american,latino/hispanic american,No,Low,Low,law,30,10,20,10,10,20,High,Medium,High,Medium,High,Medium,10,25,20,25,5,15,Medium,Medium,High,High,Medium,Medium,Medium,High,High,Medium,Low,High,High,High,Medium,High,Medium,High,Low,Medium,High,Low,Medium,Medium,Medium,Medium,Low,Low,Medium,Medium,Medium,Low,Yes,No,Yes,No
female,23,25,2,asian/pacific islander/asian-american,european/caucasian-american,No,Low,Low,law,50,0,30,10,0,10,Medium,Medium,High,High,High,Medium,10,25,20,25,5,15,Medium,Medium,High,High,Medium,Low,Medium,Medium,Low,Low,Low,High,High,High,Medium,High,Medium,High,Low,Medium,High,Low,Medium,Medium,Medium,Medium,Low,Low,Medium,Medium,Low,Low,No,No,Yes,No
female,23,30,7,asian/pacific islander/asian-american,european/caucasian-american,No,Low,Low,law,35,15,25,10,5,10,Medium,Medium,High,Medium,Medium,Medium,10,25,20,25,5,15,Medium,Medium,High,High,Medium,High,High,High,High,Low,Medium,High,High,High,Medium,High,Medium,High,Low,Medium,High,Low,Medium,Medium,Medium,Medium,Low,Low,Medium,Medium,High,Medium,No,Yes,No,No
female,23,27,4,asian/pacific islander/asian-american,european/caucasian-american,No,Low,Low,law,33.33,11.11,11.11,11.11,11.11,22.22,Medium,Medium,High,Medium,High,Medium,10,25,20,25,5,15,Medium,Medium,High,High,Medium,Medium,High,High,Low,High,Low,High,High,High,Medium,High,Medium,High,Low,Medium,High,Low,Medium,Medium,Medium,Medium,Low,Low,Medium,Medium,Medium,Medium,No,No,No,No
female,23,28,5,asian/pacific islander/asian-american,european/caucasian-american,No,Low,Low,law,50,0,25,10,0,15,Medium,Medium,Medium,Medium,Medium,Medium,10,25,20,25,5,15,Medium,Medium,High,High,Medium,Medium,Medium,High,High,Medium,High,High,High,High,Medium,High,Medium,High,Low,Medium,High,Low,Medium,Medium,Medium,Medium,Low,Low,Medium,Medium,High,Medium,No,Yes,Yes,Yes
female,23,24,1,asian/pacific islander/asian-american,european/caucasian-american,No,Low,Low,law,100,0,0,0,0,0,Medium,High,High,Medium,High,Medium,10,25,20,25,5,15,Medium,Medium,High,High,Medium,High,High,High,High,High,Medium,High,High,High,Medium,High,Medium,High,Low,Medium,High,Low,Medium,Medium,Medium,Medium,Low,Low,Medium,Medium,High,High,No,Yes,No,Yes
female,22,27,5,asian/pacific islander/asian-american,european/caucasian-american,No,Low,Medium,law,35,20,20,20,0,5,Medium,High,High,High,Medium,Medium,15,15,25,20,15,10,Medium,Medium,Medium,Medium,Medium,Medium,High,High,Medium,Medium,Medium,Medium,Low,Medium,High,High,High,Low,Low,High,High,High,High,High,High,High,High,High,Medium,Low,Medium,Medium,No,No,No,Yes
female,22,22,0,asian/pacific islander/asian-american,european/caucasian-american,No,Low,Medium,law,60,0,0,40,0,0,Medium,High,High,Medium,Medium,Medium,15,15,25,20,15,10,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,High,Medium,Medium,Low,Medium,High,High,High,Low,Low,High,High,High,High,High,High,High,High,High,Medium,Low,Medium,Low,Yes,No,Yes,Yes
female,22,22,0,asian/pacific islander/asian-american,asian/pacific islander/asian-american,Yes,Low,Medium,law,19,18,19,18,14,12,High,High,High,High,High,High,15,15,25,20,15,10,Medium,Medium,Medium,Medium,Medium,Low,Medium,High,Medium,High,High,Medium,Low,Medium,High,High,High,Low,Low,High,High,High,High,High,High,High,High,High,Medium,Low,Medium,High,Yes,No,Yes,Yes
female,22,23,1,asian/pacific islander/asian-american,european/caucasian-american,No,Low,Medium,law,30,5,15,40,5,5,High,High,High,High,High,High,15,15,25,20,15,10,Medium,Medium,Medium,Medium,Medium,Medium,High,High,Medium,Medium,Medium,Medium,Low,Medium,High,High,High,Low,Low,High,High,High,High,High,High,High,High,High,Medium,Low,High,Medium,Yes,Yes,Yes,Yes
female,22,24,2,asian/pacific islander/asian-american,latino/hispanic american,No,Low,Medium,law,30,10,20,10,10,20,High,Medium,High,Medium,High,Medium,15,15,25,20,15,10,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,Low,Medium,High,High,High,Low,Low,High,High,High,High,High,High,High,High,High,Medium,Low,Medium,Medium,Yes,No,Yes,Yes
female,22,25,3,asian/pacific islander/asian-american,european/caucasian-american,No,Low,Medium,law,50,0,30,10,0,10,High,High,High,Medium,Medium,Medium,15,15,25,20,15,10,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,Low,Medium,High,High,High,Low,Low,High,High,High,High,High,High,High,High,High,Medium,Low,Medium,Medium,No,No,Yes,Yes
female,22,30,8,asian/pacific islander/asian-american,european/caucasian-american,No,Low,Medium,law,35,15,25,10,5,10,Medium,Medium,Medium,Medium,Medium,Low,15,15,25,20,15,10,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,Low,Medium,High,High,High,Low,Low,High,High,High,High,High,High,High,High,High,Medium,Low,High,Medium,No,Yes,No,Yes
female,22,27,5,asian/pacific islander/asian-american,european/caucasian-american,No,Low,Medium,law,33.33,11.11,11.11,11.11,11.11,22.22,High,Medium,Medium,Medium,Medium,Medium,15,15,25,20,15,10,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,High,Medium,Medium,Low,Medium,High,High,High,Low,Low,High,High,High,High,High,High,High,High,High,Medium,Low,Medium,Medium,No,No,Yes,Yes
