gender,race,race_other,samerace,importance_same_race,importance_same_religion,field,attractive_o,sinsere_o,intelligence_o,funny_o,ambitous_o,shared_interests_o,attractive,sincere,intelligence,funny,ambition,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambition_partner,shared_interests_partner,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,expected_happy_with_sd_people,expected_num_matches,like,guess_prob_liked,met,decision,decision_other,match
female,european/caucasian-american,european/caucasian-american,Yes,Low,Medium,law,High,Medium,Medium,High,Medium,Medium,Medium,Medium,High,High,Low,Medium,Medium,High,Medium,Medium,Low,Low,Low,Medium,High,High,Medium,Low,Medium,High,High,Low,High,High,Medium,High,Low,Low,Medium,Low,Medium,Medium,No,No,No,No
female,european/caucasian-american,european/caucasian-american,Yes,Low,Medium,law,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,High,High,Low,High,Medium,Medium,Medium,High,Medium,Low,Low,Medium,High,High,Medium,Low,Medium,High,High,Low,High,High,Medium,High,Low,Low,Medium,Low,Medium,Low,No,No,No,No
female,european/caucasian-american,asian/pacific islander/asian-american,No,Low,Medium,law,High,High,High,High,High,High,Medium,Medium,High,High,Low,Medium,High,High,Medium,Low,Medium,Low,Low,Medium,High,High,Medium,Low,Medium,High,High,Low,High,High,Medium,High,Low,Low,Medium,Low,Medium,Medium,No,No,Yes,No
female,european/caucasian-american,european/caucasian-american,Yes,Low,Medium,law,High,High,High,High,High,High,Medium,Medium,High,High,Low,Medium,High,Medium,Medium,Medium,Medium,Low,Low,Medium,High,High,Medium,Low,Medium,High,High,Low,High,High,Medium,High,Low,Low,Medium,Low,Medium,High,No,Yes,Yes,Yes
female,european/caucasian-american,latino/hispanic american,No,Low,Medium,law,High,High,High,High,Medium,High,Medium,Medium,High,High,Low,Medium,High,Medium,High,Medium,High,Low,Low,Medium,High,High,Medium,Low,Medium,High,High,Low,High,High,Medium,High,Low,Low,Medium,Low,High,Medium,Yes,No,Yes,No
female,european/caucasian-american,european/caucasian-american,Yes,Low,Medium,law,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,High,High,Low,High,Medium,High,Low,Medium,Low,Low,Low,Medium,High,High,Medium,Low,Medium,High,High,Low,High,High,Medium,High,Low,Low,Medium,Low,Medium,Medium,No,No,Yes,No
female,european/caucasian-american,european/caucasian-american,Yes,Low,Medium,law,Medium,Low,Medium,Low,Medium,Low,Medium,Medium,High,High,Low,Medium,Medium,High,Medium,Medium,High,Low,Low,Medium,High,High,Medium,Low,Medium,High,High,Low,High,High,Medium,High,Low,Low,Medium,Low,High,Medium,No,Yes,No,No
female,european/caucasian-american,european/caucasian-american,Yes,Low,Medium,law,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,High,Low,Medium,High,Medium,Medium,High,Medium,Low,Low,Medium,High,High,Medium,Low,Medium,High,High,Low,High,High,Medium,High,Low,Low,Medium,Low,Medium,Medium,No,No,Yes,No
female,european/caucasian-american,european/caucasian-american,Yes,Low,Medium,law,High,Medium,High,High,High,Medium,Medium,Medium,High,High,Low,Medium,Medium,High,High,Medium,Medium,Low,Low,Medium,High,High,Medium,Low,Medium,High,High,Low,High,High,Medium,High,Low,Low,Medium,Low,Medium,Medium,No,Yes,Yes,Yes
female,european/caucasian-american,european/caucasian-american,Yes,Low,Medium,law,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,High,High,Low,Medium,Medium,High,Medium,High,High,Low,Low,Medium,High,High,Medium,Low,Medium,High,High,Low,High,High,Medium,High,Low,Low,Medium,Low,High,Medium,No,Yes,No,Yes
female,european/caucasian-american,european/caucasian-american,Yes,High,Medium,economics,Medium,High,Medium,Medium,High,Medium,High,High,High,High,High,Medium,High,High,Medium,High,High,Low,High,Medium,High,Medium,Medium,High,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,High,Medium,Yes,No,No,Yes
female,european/caucasian-american,european/caucasian-american,Yes,High,Medium,economics,Medium,Medium,High,Medium,Medium,Medium,High,High,High,High,High,High,Medium,High,High,High,Medium,Low,High,Medium,High,Medium,Medium,High,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,High,Medium,No,No,No,Yes
female,european/caucasian-american,asian/pacific islander/asian-american,No,High,Medium,economics,High,High,High,High,High,High,High,High,High,High,High,Medium,High,High,Medium,High,Medium,Low,High,Medium,High,Medium,Medium,High,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,High,Medium,No,No,Yes,Yes
female,european/caucasian-american,european/caucasian-american,Yes,High,Medium,economics,Medium,High,High,High,High,High,High,High,High,High,High,High,Medium,High,Medium,High,Medium,Low,High,Medium,High,Medium,Medium,High,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,High,Medium,No,No,Yes,Yes
female,european/caucasian-american,latino/hispanic american,No,High,Medium,economics,Medium,High,High,Medium,Medium,Medium,High,High,High,High,High,High,High,High,High,High,High,Low,High,Medium,High,Medium,Medium,High,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,High,Medium,No,No,Yes,Yes
female,european/caucasian-american,european/caucasian-american,Yes,High,Medium,economics,Medium,Medium,Medium,Medium,Medium,Medium,High,High,High,High,High,High,High,High,Medium,High,High,Low,High,Medium,High,Medium,Medium,High,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,High,Medium,No,No,Yes,Yes
female,european/caucasian-american,european/caucasian-american,Yes,High,Medium,economics,Medium,Low,Medium,Medium,Medium,Medium,High,High,High,High,High,High,High,High,Medium,Medium,High,Low,High,Medium,High,Medium,Medium,High,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,High,Medium,No,No,No,Yes
female,european/caucasian-american,european/caucasian-american,Yes,High,Medium,economics,Medium,Medium,Medium,Medium,Medium,Medium,High,High,High,High,High,Medium,High,High,High,High,Medium,Low,High,Medium,High,Medium,Medium,High,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,High,Medium,No,No,No,Yes
female,european/caucasian-american,european/caucasian-american,Yes,High,Medium,economics,Medium,Medium,Medium,High,Medium,Medium,High,High,High,High,High,High,High,High,High,High,High,Low,High,Medium,High,Medium,Medium,High,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,High,Medium,No,No,Yes,Yes
female,european/caucasian-american,european/caucasian-american,Yes,High,Medium,economics,Medium,Medium,High,Medium,High,Medium,High,High,High,High,High,High,Medium,High,Medium,High,Medium,Low,High,Medium,High,Medium,Medium,High,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,High,Medium,No,No,No,Yes
female,european/caucasian-american,european/caucasian-american,Yes,Low,Low,law,Medium,Medium,High,Medium,Medium,Medium,Medium,High,High,Medium,High,Medium,High,High,Medium,High,Medium,Low,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,High,Medium,Low,High,Low,Low,Medium,Medium,No,No,No,Yes
female,european/caucasian-american,european/caucasian-american,Yes,Low,Low,law,Medium,Medium,High,Medium,Medium,Medium,Medium,High,High,Medium,High,High,Medium,High,High,Medium,High,Low,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,High,Medium,Low,High,Low,Low,High,Low,Yes,No,No,Yes
female,european/caucasian-american,asian/pacific islander/asian-american,No,Low,Low,law,High,High,High,High,High,High,Medium,High,High,Medium,High,Medium,Medium,High,High,Medium,Medium,Low,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,High,Medium,Low,High,Low,Low,Medium,Low,No,No,Yes,Yes
female,european/caucasian-american,european/caucasian-american,Yes,Low,Low,law,Medium,Medium,Medium,High,High,High,Medium,High,High,Medium,High,High,High,Medium,High,Medium,High,Low,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,High,Medium,Low,High,Low,Low,High,High,Yes,Yes,Yes,Yes
female,european/caucasian-american,latino/hispanic american,No,Low,Low,law,High,High,High,High,High,High,Medium,High,High,Medium,High,Medium,High,High,High,High,High,Low,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,High,Medium,Low,High,Low,Low,Medium,Medium,No,No,Yes,Yes
female,european/caucasian-american,european/caucasian-american,Yes,Low,Low,law,Medium,Medium,Medium,Medium,High,Medium,Medium,High,High,Medium,High,Medium,High,High,Medium,High,Low,Low,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,High,Medium,Low,High,Low,Low,Medium,Low,No,No,Yes,Yes
female,european/caucasian-american,european/caucasian-american,Yes,Low,Low,law,Medium,Medium,Low,Medium,Medium,Medium,Medium,High,High,Medium,High,Medium,High,High,Medium,High,Medium,Low,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,High,Medium,Low,High,Low,Low,Medium,Low,No,No,Yes,Yes
female,european/caucasian-american,european/caucasian-american,Yes,Low,Low,law,Medium,Medium,High,Medium,Medium,Medium,Medium,High,High,Medium,High,Medium,High,High,Medium,High,Medium,Low,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,High,Medium,Low,High,Low,Low,Medium,Medium,No,No,No,Yes
female,european/caucasian-american,european/caucasian-american,Yes,Low,Low,law,Medium,Medium,Medium,High,High,High,Medium,High,High,Medium,High,High,High,High,High,Medium,High,Low,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,High,Medium,Low,High,Low,Low,High,High,No,Yes,Yes,Yes
female,european/caucasian-american,european/caucasian-american,Yes,Low,Low,law,Medium,High,High,Medium,High,Medium,Medium,High,High,Medium,High,High,High,High,High,High,High,Low,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,High,Medium,Low,High,Low,Low,High,High,No,Yes,No,Yes
female,european/caucasian-american,european/caucasian-american,Yes,High,Low,law,Medium,High,High,High,Medium,Medium,Medium,Low,Medium,High,High,Medium,High,High,Low,Low,Low,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,High,Medium,High,Medium,Medium,Low,Medium,High,Low,Medium,Medium,Medium,Medium,No,No,No,Yes
female,european/caucasian-american,european/caucasian-american,Yes,High,Low,law,Medium,Medium,High,Medium,Medium,Medium,Medium,Low,Medium,High,High,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,High,Medium,High,Medium,Medium,Low,Medium,High,Low,Medium,Medium,Medium,Medium,Yes,No,No,Yes
female,european/caucasian-american,asian/pacific islander/asian-american,No,High,Low,law,High,High,High,High,High,High,Medium,Low,Medium,High,High,Medium,Medium,High,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,High,Medium,High,Medium,Medium,Low,Medium,High,Low,Medium,Medium,Medium,Medium,Yes,No,Yes,Yes
female,european/caucasian-american,european/caucasian-american,Yes,High,Low,law,Medium,High,Medium,High,High,High,Medium,Low,Medium,High,High,High,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,High,Medium,High,Medium,Medium,Low,Medium,High,Low,Medium,Medium,High,Low,Yes,Yes,Yes,Yes
female,european/caucasian-american,latino/hispanic american,No,High,Low,law,Medium,High,High,Medium,High,Medium,Medium,Low,Medium,High,High,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,High,Medium,High,Medium,Medium,Low,Medium,High,Low,Medium,Medium,Medium,Medium,No,No,No,Yes
female,european/caucasian-american,european/caucasian-american,Yes,High,Low,law,Medium,High,Medium,Medium,Medium,Medium,Medium,Low,Medium,High,High,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,High,Medium,High,Medium,Medium,Low,Medium,High,Low,Medium,Medium,Medium,Low,No,Yes,No,Yes
female,european/caucasian-american,european/caucasian-american,Yes,High,Low,law,Low,Low,Medium,Medium,Medium,Low,Medium,Low,Medium,High,High,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,High,Medium,High,Medium,Medium,Low,Medium,High,Low,Medium,Medium,Medium,Low,No,Yes,No,Yes
female,european/caucasian-american,european/caucasian-american,Yes,High,Low,law,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,Medium,High,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,High,Medium,High,Medium,Medium,Low,Medium,High,Low,Medium,Medium,Medium,Medium,No,Yes,No,Yes
female,european/caucasian-american,european/caucasian-american,Yes,High,Low,law,Medium,High,High,High,High,Medium,Medium,Low,Medium,High,High,Medium,Medium,Medium,High,Medium,High,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,High,Medium,High,Medium,Medium,Low,Medium,High,Low,Medium,Medium,High,Medium,No,Yes,Yes,Yes
female,european/caucasian-american,european/caucasian-american,Yes,High,Low,law,Low,High,Medium,Medium,High,Medium,Medium,Low,Medium,High,High,High,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,High,Medium,High,Medium,Medium,Low,Medium,High,Low,Medium,Medium,High,Low,No,Yes,No,No
female,asian/pacific islander/asian-american,european/caucasian-american,No,Low,Low,law,Medium,High,High,High,High,Medium,Medium,Medium,High,High,Medium,Medium,High,Medium,Medium,Medium,Medium,High,High,High,Medium,High,Medium,High,Low,Medium,High,Low,Medium,Medium,Medium,Medium,Low,Low,Medium,Medium,Medium,Medium,No,Yes,No,No
female,asian/pacific islander/asian-american,european/caucasian-american,No,Low,Low,law,Medium,High,High,Medium,Medium,Medium,Medium,Medium,High,High,Medium,Medium,High,High,Medium,High,Low,High,High,High,Medium,High,Medium,High,Low,Medium,High,Low,Medium,Medium,Medium,Medium,Low,Low,Medium,Medium,Medium,Medium,No,Yes,No,No
female,asian/pacific islander/asian-american,asian/pacific islander/asian-american,Yes,Low,Low,law,High,High,High,High,High,High,Medium,Medium,High,High,Medium,Medium,Medium,High,Medium,Low,Low,High,High,High,Medium,High,Medium,High,Low,Medium,High,Low,Medium,Medium,Medium,Medium,Low,Low,Medium,Medium,Medium,Low,Yes,No,Yes,No
female,asian/pacific islander/asian-american,european/caucasian-american,No,Low,Low,law,Medium,High,High,Medium,High,High,Medium,Medium,High,High,Medium,High,Medium,Medium,High,Low,High,High,High,High,Medium,High,Medium,High,Low,Medium,High,Low,Medium,Medium,Medium,Medium,Low,Low,Medium,Medium,High,Medium,No,Yes,Yes,Yes
female,asian/pacific islander/asian-american,latino/hispanic american,No,Low,Low,law,High,Medium,High,Medium,High,Medium,Medium,Medium,High,High,Medium,Medium,Medium,High,High,Medium,Low,High,High,High,Medium,High,Medium,High,Low,Medium,High,Low,Medium,Medium,Medium,Medium,Low,Low,Medium,Medium,Medium,Low,Yes,No,Yes,No
female,asian/pacific islander/asian-american,european/caucasian-american,No,Low,Low,law,Medium,Medium,High,High,High,Medium,Medium,Medium,High,High,Medium,Low,Medium,Medium,Low,Low,Low,High,High,High,Medium,High,Medium,High,Low,Medium,High,Low,Medium,Medium,Medium,Medium,Low,Low,Medium,Medium,Low,Low,No,No,Yes,No
female,asian/pacific islander/asian-american,european/caucasian-american,No,Low,Low,law,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,High,High,Medium,High,High,High,High,Low,Medium,High,High,High,Medium,High,Medium,High,Low,Medium,High,Low,Medium,Medium,Medium,Medium,Low,Low,Medium,Medium,High,Medium,No,Yes,No,No
female,asian/pacific islander/asian-american,european/caucasian-american,No,Low,Low,law,Medium,Medium,High,Medium,High,Medium,Medium,Medium,High,High,Medium,Medium,High,High,Low,High,Low,High,High,High,Medium,High,Medium,High,Low,Medium,High,Low,Medium,Medium,Medium,Medium,Low,Low,Medium,Medium,Medium,Medium,No,No,No,No
female,asian/pacific islander/asian-american,european/caucasian-american,No,Low,Low,law,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,High,Medium,Medium,Medium,High,High,Medium,High,High,High,High,Medium,High,Medium,High,Low,Medium,High,Low,Medium,Medium,Medium,Medium,Low,Low,Medium,Medium,High,Medium,No,Yes,Yes,Yes
female,asian/pacific islander/asian-american,european/caucasian-american,No,Low,Low,law,Medium,High,High,Medium,High,Medium,Medium,Medium,High,High,Medium,High,High,High,High,High,Medium,High,High,High,Medium,High,Medium,High,Low,Medium,High,Low,Medium,Medium,Medium,Medium,Low,Low,Medium,Medium,High,High,No,Yes,No,Yes
female,asian/pacific islander/asian-american,european/caucasian-american,No,Low,Medium,law,Medium,High,High,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,High,Medium,Medium,Medium,Medium,Low,Medium,High,High,High,Low,Low,High,High,High,High,High,High,High,High,High,Medium,Low,Medium,Medium,No,No,No,Yes
female,asian/pacific islander/asian-american,european/caucasian-american,No,Low,Medium,law,Medium,High,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,High,Medium,Medium,Low,Medium,High,High,High,Low,Low,High,High,High,High,High,High,High,High,High,Medium,Low,Medium,Low,Yes,No,Yes,Yes
female,asian/pacific islander/asian-american,asian/pacific islander/asian-american,Yes,Low,Medium,law,High,High,High,High,High,High,Medium,Medium,Medium,Medium,Medium,Low,Medium,High,Medium,High,High,Medium,Low,Medium,High,High,High,Low,Low,High,High,High,High,High,High,High,High,High,Medium,Low,Medium,High,Yes,No,Yes,Yes
female,asian/pacific islander/asian-american,european/caucasian-american,No,Low,Medium,law,High,High,High,High,High,High,Medium,Medium,Medium,Medium,Medium,Medium,High,High,Medium,Medium,Medium,Medium,Low,Medium,High,High,High,Low,Low,High,High,High,High,High,High,High,High,High,Medium,Low,High,Medium,Yes,Yes,Yes,Yes
female,asian/pacific islander/asian-american,latino/hispanic american,No,Low,Medium,law,High,Medium,High,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,Low,Medium,High,High,High,Low,Low,High,High,High,High,High,High,High,High,High,Medium,Low,Medium,Medium,Yes,No,Yes,Yes
female,asian/pacific islander/asian-american,european/caucasian-american,No,Low,Medium,law,High,High,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,Low,Medium,High,High,High,Low,Low,High,High,High,High,High,High,High,High,High,Medium,Low,Medium,Medium,No,No,Yes,Yes
female,asian/pacific islander/asian-american,european/caucasian-american,No,Low,Medium,law,Medium,Medium,Medium,Medium,Medium,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,Low,Medium,High,High,High,Low,Low,High,High,High,High,High,High,High,High,High,Medium,Low,High,Medium,No,Yes,No,Yes
female,asian/pacific islander/asian-american,european/caucasian-american,No,Low,Medium,law,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,High,Medium,Medium,Low,Medium,High,High,High,Low,Low,High,High,High,High,High,High,High,High,High,Medium,Low,Medium,Medium,No,No,Yes,Yes
female,asian/pacific islander/asian-american,european/caucasian-american,No,Low,Medium,law,High,Medium,High,High,High,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,High,High,Medium,Medium,Low,Medium,High,High,High,Low,Low,High,High,High,High,High,High,High,High,High,Medium,Low,Medium,Medium,No,Yes,Yes,Yes
female,asian/pacific islander/asian-american,european/caucasian-american,No,Low,Medium,law,Medium,Medium,High,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,High,Medium,Medium,Low,Medium,High,High,High,Low,Low,High,High,High,High,High,High,High,High,High,Medium,Low,Medium,Medium,No,Yes,No,Yes
female,european/caucasian-american,european/caucasian-american,Yes,Low,Low,masters in public administration,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,High,High,Medium,High,Medium,Medium,Medium,Medium,Low,Low,Low,High,High,High,Low,Low,High,High,High,High,High,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,No,Yes,No,Yes
female,european/caucasian-american,european/caucasian-american,Yes,Low,Low,masters in public administration,High,High,High,Medium,Medium,Medium,Medium,Medium,High,High,High,High,Medium,Medium,High,Medium,Medium,Low,Low,Low,High,High,High,Low,Low,High,High,High,High,High,Medium,Medium,High,Medium,Medium,Medium,High,Medium,No,Yes,Yes,Yes
female,european/caucasian-american,asian/pacific islander/asian-american,No,Low,Low,masters in public administration,High,High,High,High,High,High,Medium,Medium,High,High,High,Medium,High,High,Medium,Medium,Medium,Low,Low,Low,High,High,High,Low,Low,High,High,High,High,High,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,No,Yes,Yes,Yes
female,european/caucasian-american,european/caucasian-american,Yes,Low,Low,masters in public administration,High,High,High,High,High,Medium,Medium,Medium,High,High,High,High,Medium,Medium,Medium,Medium,Medium,Low,Low,Low,High,High,High,Low,Low,High,High,High,High,High,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,No,Yes,Yes,Yes
female,european/caucasian-american,latino/hispanic american,No,Low,Low,masters in public administration,High,High,High,High,Medium,Medium,Medium,Medium,High,High,High,Medium,High,High,Medium,Medium,Medium,Low,Low,Low,High,High,High,Low,Low,High,High,High,High,High,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,No,Yes,Yes,Yes
female,european/caucasian-american,european/caucasian-american,Yes,Low,Low,masters in public administration,High,Medium,Medium,Medium,High,Medium,Medium,Medium,High,High,High,Medium,High,High,Medium,Medium,Medium,Low,Low,Low,High,High,High,Low,Low,High,High,High,High,High,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,No,Yes,Yes,Yes
female,european/caucasian-american,european/caucasian-american,Yes,Low,Low,masters in public administration,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,High,High,Medium,Medium,High,Medium,Medium,Medium,Low,Low,Low,High,High,High,Low,Low,High,High,High,High,High,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,No,Yes,No,Yes
female,european/caucasian-american,european/caucasian-american,Yes,Low,Low,masters in public administration,High,High,High,High,Medium,Medium,Medium,Medium,High,High,High,Medium,Medium,Medium,Medium,Medium,Medium,Low,Low,Low,High,High,High,Low,Low,High,High,High,High,High,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,No,Yes,Yes,Yes
female,european/caucasian-american,european/caucasian-american,Yes,Low,Low,masters in public administration,High,Medium,High,High,High,High,Medium,Medium,High,High,High,High,High,Medium,High,High,High,Low,Low,Low,High,High,High,Low,Low,High,High,High,High,High,Medium,Medium,High,Medium,Medium,Medium,Medium,High,No,Yes,Yes,Yes
female,european/caucasian-american,european/caucasian-american,Yes,Low,Low,masters in public administration,High,High,High,High,High,High,Medium,Medium,High,High,High,Medium,Medium,High,Medium,High,High,Low,Low,Low,High,High,High,Low,Low,High,High,High,High,High,Medium,Medium,High,Medium,Medium,Medium,High,Medium,No,Yes,Yes,Yes
female,other,european/caucasian-american,No,Low,Low,masters in public administration,Medium,High,Medium,High,Medium,Medium,Medium,Medium,High,Medium,Medium,High,High,High,High,Medium,Medium,Medium,Low,Low,High,Medium,Medium,Low,Low,High,High,High,High,High,High,High,High,Low,Medium,Low,Medium,Medium,No,Yes,No,Yes
female,other,european/caucasian-american,No,Low,Low,masters in public administration,High,High,High,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,High,High,High,High,High,High,Medium,Low,Low,High,Medium,Medium,Low,Low,High,High,High,High,High,High,High,High,Low,Medium,Low,High,Medium,No,Yes,Yes,Yes
